ID	Name
10fthf5glu[c]	10-formyltetrahydrofolate-[Glu](5)
10fthf5glu[e]	10-formyltetrahydrofolate-[Glu](5)
10fthf5glu[l]	10-formyltetrahydrofolate-[Glu](5)
10fthf5glu[m]	10-formyltetrahydrofolate-[Glu](5)
10fthf6glu[c]	10-formyltetrahydrofolate-[Glu](6)
10fthf6glu[e]	10-formyltetrahydrofolate-[Glu](6)
10fthf6glu[l]	10-formyltetrahydrofolate-[Glu](6)
10fthf6glu[m]	10-formyltetrahydrofolate-[Glu](6)
10fthf7glu[c]	10-formyltetrahydrofolate-[Glu](7)
10fthf7glu[e]	10-formyltetrahydrofolate-[Glu](7)
10fthf7glu[l]	10-formyltetrahydrofolate-[Glu](7)
10fthf7glu[m]	10-formyltetrahydrofolate-[Glu](7)
10fthf[c]	10-formyltetrahydrofolate(2-)
10fthf[e]	10-formyltetrahydrofolate(2-)
10fthf[l]	10-formyltetrahydrofolate(2-)
10fthf[m]	10-formyltetrahydrofolate(2-)
11_cis_retfa[c]	fatty acid 11-cis-retinol
11_cis_retfa[e]	fatty acid 11-cis-retinol
11docrtsl[c]	11-deoxycortisol
11docrtsl[m]	11-deoxycortisol
11docrtsl[r]	11-deoxycortisol
11docrtstrn[c]	11-deoxycorticosterone
11docrtstrn[m]	11-deoxycorticosterone
11docrtstrn[r]	11-deoxycorticosterone
12HPET[c]	12(S)-HPETE(1-)
12RHPET[c]	12(R)-HPETE
12harachd[r]	12 hydroxy arachidonic acid
12ppd_R[c]	(R)-propane-1,2-diol
12ppd_S[c]	(S)-propane-1,2-diol
13_cis_oretn[c]	13-cis-oxo-retinoic acid
13_cis_oretn[n]	13-cis-oxo-retinoic acid
13_cis_retn[c]	isotretinoin
13_cis_retn[n]	isotretinoin
13_cis_retn[r]	isotretinoin
13_cis_retnglc[c]	1-O-all-trans-retinoyl-beta-glucuronic acid
13_cis_retnglc[e]	1-O-all-trans-retinoyl-beta-glucuronic acid
13_cis_retnglc[r]	1-O-all-trans-retinoyl-beta-glucuronic acid
13dampp[c]	trimethylenediaminium
13dpg[c]	3-phosphonato-D-glyceroyl phosphate(4-)
15HPET[c]	15(S)-HPETE(1-)
15HPET[n]	15(S)-HPETE(1-)
15HPET[r]	15(S)-HPETE(1-)
17ahprgnlone[c]	17alpha-hydroxypregnenolone
17ahprgnlone[g]	17alpha-hydroxypregnenolone
17ahprgnlone[l]	17alpha-hydroxypregnenolone
17ahprgnlone[m]	17alpha-hydroxypregnenolone
17ahprgnlone[r]	17alpha-hydroxypregnenolone
17ahprgstrn[c]	17alpha-hydroxyprogesterone
17ahprgstrn[m]	17alpha-hydroxyprogesterone
17ahprgstrn[r]	17alpha-hydroxyprogesterone
18harachd[r]	18 hydroxy arachidonic acid
1a2425thvitd2[m]	1-alpha,24R,25-Trihydroxyvitamin D2
1a2425thvitd3[m]	calcitetrol
1a25dhvitd2[m]	1-alpha,25-Dihydroxyvitamin D2
1a25dhvitd3[c]	calcitriol
1a25dhvitd3[m]	calcitriol
1a25dhvitd3[n]	calcitriol
1glyc_hs[e]	1-acyl-sn-glycerol 3-phosphate
1mncam[c]	1-methylnicotinamide
1mncam[e]	1-methylnicotinamide
1mpyr[c]	1-methylpyrrolinium
1p2cbxl[x]	1-pyrroline-2-carboxylate
1p3h5c[c]	(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic acid
1p3h5c[m]	(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic acid
1pipdn2c[x]	1-piperideine-2-carboxylate
1pyr5c[c]	1-pyrroline-5-carboxylate
1pyr5c[m]	1-pyrroline-5-carboxylate
20ahchsterol[m]	20-hydroxycholesterol
23cump[c]	2',3'-cyclic UMP(1-)
23cump[e]	2',3'-cyclic UMP(1-)
23doguln[c]	2,3-diketogulonate
23dpg[c]	2,3-bisphosphonato-D-glycerate(5-)
2425dhvitd2[c]	24R,25-Dihyoxyvitamin D2
2425dhvitd2[e]	24R,25-Dihyoxyvitamin D2
2425dhvitd2[m]	24R,25-Dihyoxyvitamin D2
2425dhvitd3[c]	(24R)-24,25-dihydroxycalciol
2425dhvitd3[e]	(24R)-24,25-dihydroxycalciol
2425dhvitd3[m]	(24R)-24,25-dihydroxycalciol
24nph[c]	2-hydroxy-4-nitrophenolate
24nph[e]	2-hydroxy-4-nitrophenolate
25aics[c]	SAICAR(4-)
25hvitd2[c]	25-Hydroxyvitamin D2
25hvitd2[e]	25-Hydroxyvitamin D2
25hvitd2[m]	25-Hydroxyvitamin D2
25hvitd3[c]	calcidiol
25hvitd3[e]	calcidiol
25hvitd3[m]	calcidiol
2amac[c]	2-aminoacrylic acid
2ameph[c]	(2-aminoethyl)phosphonic acid
2aobut[m]	L-2-amino-3-oxobutanoic acid
2c23dh56dhoxin[c]	leucodopachrome
2coum[c]	cis-2-coumarate
2ddecdicoa[m]	2,6-dodecadienoylcoa
2ddecdicoa[x]	2,6-dodecadienoylcoa
2decdicoa[m]	2,7-decadienoylcoa
2decdicoa[x]	2,7-decadienoylcoa
2docohexecoa[m]	2,7,10,13,16,19-docosahexenoylcoa
2docopencoa[m]	2,7,10,13,16-docosapentenoylcoa
2docopencoa[x]	2,7,10,13,16-docosapentenoylcoa
2dodtricoa[m]	2,6,9-dodecatrienoylcoa
2dodtricoa[x]	2,6,9-dodecatrienoylcoa
2dp6mep[m]	2-decaprenyl-6-methoxyphenol
2dp6mobq[m]	2-decaprenyl-6-methoxy-1,4-benzoquinone
2dp6mobq_me[m]	2-decaprenyl-6-methoxy-3-methyl-1,4-benzoquinone
2dpmhobq[m]	2-decaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone
2dr1p[c]	2-deoxy-D-ribofuranose 1-phosphate(2-)
2dr5p[c]	2-deoxy-D-ribose 5-phosphate(2-)
2hb[c]	2-hydroxybutyric acid
2hb[e]	2-hydroxybutyric acid
2hexdtetcoa[m]	2,7,10,13-hexadecatetraenoylcoa
2hexdtetcoa[x]	2,7,10,13-hexadecatetraenoylcoa
2hexdtricoa[m]	2,7,10-hexadecatrienoylcoa
2hexdtricoa[x]	2,7,10-hexadecatrienoylcoa
2hyoxplac[c]	(2-hydroxyphenyl)acetic acid
2kmb[c]	4-methylthio-2-oxobutanoate
2maacoa[m]	2-methylacetoacetyl-CoA(4-)
2mb2coa[c]	2-methylcrotonoyl-CoA(4-)
2mb2coa[m]	2-methylcrotonoyl-CoA(4-)
2mbcoa[m]	2-methylbutanoyl-CoA(4-)
2mcacn[c]	(Z)-but-2-ene-1,2,3-tricarboxylate
2mcit[c]	2-methylcitrate(3-)
2mcit[e]	2-methylcitrate(3-)
2mop[c]	2-methyl-3-oxopropanoate
2mop[m]	2-methyl-3-oxopropanoate
