ID	Name
13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)
1a_24_25VITD2Hm	1-alpha-Vitamin D-24,25-hydroxylase (D2)
1a_24_25VITD3Hm	1-alpha-Vitamin D-24,25-hydroxylase (D3)
1a_25VITD2Hm	1-alpha,24R,25-Vitamin D-hydroxylase (D2)
1a_25VITD3Hm	1-alpha,24R,25-Vitamin D-hydroxylase (D3)
1PPDCRp	delta1-piperideine-2-carboxylate reductase, perixosomal
24_25VITD2Hm	24R-Vitamin D-25-hydroxylase (D2)
24_25VITD3Hm	24R-Vitamin D-25-hydroxylase (D3)
25VITD2Hm	1-alpha-Vitamin D-25-hydroxylase (D2)
25VITD3Hm	1-alpha-Vitamin D-25-hydroxylase (D3)
2AMACHYD	2-Aminoacrylate hydrolysis
2AMACSULT	2-Aminoacrylate sulfotransferase
2DR1PP	2-deoxy-D-ribose 1-phosphate phosphorylase
2HBO	2-Hydroxybutyrate:NAD+ oxidoreductase
2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)
34DHOXPEGOX	3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase
34DHPHAMT	3,4-Dihydroxyphenylacetate:amet O-methyltransferase
34DHPLACOX	3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase
34DHPLACOX_NADP_	3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase
34DHXMANDACOX	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase
34DHXMANDACOX_NADP_	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase
34HPLFM	3-(4-hydroxyphenyl-)lactate formation
34HPPOR	4-Hydroxyphenylpyruvate:oxygen oxidoreductase
3AIBTm	L-3-aminoisobutyrate transaminase, mitochondrial
3DPHBH1	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH)
3DPHBH2	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH)
3DSPHR	3-Dehydrosphinganine reductase
3HAO	3-hydroxyanthranilate 3,4-dioxygenase
3HBCDm	3-hydroxybutyryl-CoA dehydratase, mitochondrial
3HBCOAHLm	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial
3HKYNAKGAT	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase
3HLYTCL	3-Hydroxy-L-tyrosine carboxy-lyase
3HPCOAHYD	3-hydroxyisobutyryl-Coenzyme A hydrolase
3HPPD	3-hydroxypropionate dehydrogenase
3HXKYNDCL	3-Hydroxykynurenamine decarboxy-lyase
3HXKYNOXDA	3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)
3M4HDXPAC	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase
3MOX4HOXPGALDOX	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase
